id,amount
1,37.75
2,55.96
3,39.47
4,67.81
5,37.42
6,411.96
7,5.84
8,64.06
9,120.67
10,202.79
11,99.25
12,158.06
13,231.55
14,295.07
15,19.33
16,27.00
17,17.52
18,23.99
19,74.02
20,26.15
21,132.34
22,68.36
23,28.81
24,33.82
25,41.24
26,24.57
27,217.85
28,30.73
29,57.02
30,26.95
31,117.64
32,41.07
33,38.90
34,16.07
35,418.13
36,128.13
37,444.55
38,60.54
39,24.73
40,18.42
41,23.56
42,43.39
43,204.68
44,28.76
45,41.00
46,80.18
47,156.47
48,30.28
49,40.70
50,14.53
51,86.49
52,46.24
53,124.86
54,57.65
55,42.64
56,215.38
57,12.48
58,123.63
59,18.72
60,7.76
61,23.51
62,19.84
63,17.92
64,74.78
65,2.60
66,192.79
67,15.22
68,125.05
69,85.01
70,245.27
71,73.89
72,32.52
73,522.80
74,25.05
75,19.26
76,30.42
77,24.31
78,20.77
79,38.76
80,293.56
81,110.03
82,31.25
83,29.56
84,287.55
85,836.15
86,397.93
87,28.15
88,161.82
89,30.00
90,11.49
91,449.41
92,142.92
93,802.55
94,336.47
95,122.84
96,50.45
97,6.32
98,74.55
99,30.67
100,21.54
101,15.91
102,35.94
103,104.04
104,14.08
105,42.86
106,14.29
107,5.94
108,16.85
109,107.07
110,498.97
111,14.63
112,68.82
113,11.37
114,6.04
115,46.95
116,27.61
117,9.65
118,141.11
119,63.66
120,69.24
121,11.20
122,15.37
123,116.22
124,44.32
125,19.99
126,47.43
127,161.28
128,266.02
129,96.76
130,167.53
131,200.01
132,51.44
133,94.60
134,58.39
135,11.86
136,62.71
137,533.88
138,17.57
139,160.88
140,9.59
141,204.37
142,71.94
143,169.65
144,177.18
145,56.86
146,2.48
147,48.28
148,49.67
149,224.22
150,85.70
151,96.67
152,23.83
153,24.22
154,137.00
155,375.57
156,93.37
157,84.95
158,46.81
159,51.89
160,31.68
161,10.50
162,67.84
163,123.60
164,71.10
165,119.69
166,28.83
167,84.10
168,253.93
169,63.39
170,46.21
171,350.67
172,8.01
173,85.61
174,101.22
175,273.49
176,201.03
177,71.65
178,209.32
179,47.26
180,337.54
181,51.01
182,66.40
183,192.26
184,75.92
185,41.64
186,268.90
187,51.57
188,29.34
189,65.90
190,34.14
191,118.16
192,302.59
193,8.59
194,77.74
195,44.22
196,55.38
197,146.18
198,311.71
199,50.52
200,22.75
