id,treatment,region,segment,converted,revenue_before,revenue,session_minutes,period
1,variant,east,segment_b,no,245.00,308.77,29.60,2026-01-12
2,control,east,segment_a,no,85.45,106.72,8.10,2026-03-25
3,variant,north,segment_b,yes,55.68,82.20,22.86,2026-03-12
4,variant,south,segment_a,yes,56.74,74.20,26.54,2026-01-25
5,variant,east,segment_c,no,234.85,316.60,0.40,2026-02-05
6,control,south,segment_c,no,64.85,77.30,27.46,2026-03-06
7,variant,west,segment_b,no,257.40,347.00,0.15,2026-02-05
8,control,west,segment_a,no,275.47,290.35,9.58,2026-01-19
9,variant,south,segment_a,no,54.62,82.03,8.27,2026-03-19
10,variant,east,segment_c,yes,125.82,189.42,6.98,2026-03-20
11,control,west,segment_c,no,33.00,38.34,9.10,2026-02-24
12,control,east,segment_b,yes,113.21,136.99,36.45,2026-03-12
13,control,east,segment_c,no,62.57,63.51,3.23,2026-01-06
14,variant,east,segment_a,yes,197.43,253.88,0.41,2026-01-19
15,control,north,segment_c,yes,93.70,108.88,6.78,2026-02-24
16,variant,west,segment_a,no,132.66,189.52,20.05,2026-02-27
17,control,south,segment_a,no,113.20,139.00,0.24,2026-03-18
18,variant,north,segment_a,yes,90.01,135.50,17.72,2026-03-20
19,variant,north,segment_c,yes,86.25,108.38,6.02,2026-01-11
20,variant,south,segment_a,yes,57.18,80.43,6.10,2026-02-21
21,variant,south,segment_c,no,149.01,183.98,20.16,2026-01-05
22,variant,north,segment_a,no,96.57,133.37,6.48,2026-02-14
23,variant,east,segment_a,no,687.15,878.57,28.07,2026-01-17
24,variant,north,segment_a,no,62.79,82.11,4.83,2026-01-25
25,control,south,segment_c,yes,38.58,47.60,14.69,2026-03-20
26,variant,east,segment_c,yes,94.16,127.63,14.20,2026-02-07
27,control,west,segment_c,yes,216.50,250.28,22.88,2026-02-22
28,control,east,segment_c,yes,212.57,236.17,9.55,2026-02-07
29,variant,east,segment_a,no,207.38,258.32,29.78,2026-01-08
30,variant,west,segment_a,no,67.38,98.49,6.72,2026-03-08
31,variant,west,segment_a,no,81.98,105.11,18.20,2026-01-18
