id,order_date,revenue
1,2025-05-02,1289.29
2,2025-06-05,418.16
3,2025-02-12,487.05
4,2025-04-10,1236.19
5,2025-01-11,519.20
6,2025-10-18,235.64
7,2025-08-08,1260.43
8,2025-05-09,2479.75
9,2025-09-17,87.47
10,2025-07-04,350.88
11,2025-12-04,163.10
12,2025-12-22,468.09
13,2025-04-11,219.56
14,2025-01-16,370.64
15,2025-08-29,184.11
16,2025-01-20,417.12
17,2025-01-11,361.50
18,2025-05-10,270.22
19,2025-09-14,636.77
20,2025-01-13,193.50
21,2025-04-12,1611.72
22,2025-01-14,1463.34
23,2025-06-19,1942.68
24,2025-06-18,914.30
25,2025-07-25,316.06
26,2025-03-26,708.33
27,2025-04-07,802.35
28,2025-01-24,503.98
29,2025-04-10,107.03
30,2025-01-23,99.40
31,2025-06-21,290.10
32,2025-09-11,367.72
33,2025-01-16,334.10
34,2025-03-29,1627.36
35,2025-06-16,385.98
36,2025-01-22,209.56
37,2025-03-30,159.30
38,2025-10-13,475.27
39,2025-03-02,383.39
40,2025-03-31,894.46
41,2025-08-11,57.94
42,2025-11-11,535.83
43,2025-11-14,109.28
44,2025-09-05,574.30
45,2025-05-13,161.78
46,2025-03-13,911.89
47,2025-01-21,298.90
48,2025-09-09,4594.86
49,2025-10-07,385.99
50,2025-03-25,44.95
51,2025-12-31,477.02
52,2025-01-07,480.40
53,2025-04-17,1044.02
54,2025-09-21,479.56
55,2025-06-14,313.03
56,2025-06-10,525.03
57,2025-03-26,487.70
58,2025-10-31,392.19
59,2025-10-27,338.51
60,2025-08-22,1225.60
61,2025-04-30,452.51
62,2025-09-03,141.49
63,2025-05-17,126.04
64,2025-07-27,359.85
65,2025-03-20,289.97
66,2025-09-16,812.26
67,2025-02-21,193.26
68,2025-10-01,707.30
69,2025-12-15,769.13
70,2025-02-28,370.05
71,2025-06-01,131.34
72,2025-04-15,759.66
73,2025-05-10,316.69
74,2025-06-21,322.06
75,2025-07-13,458.90
76,2025-06-27,375.57
77,2025-04-13,954.72
78,2025-10-12,617.75
79,2025-10-07,535.41
80,2025-05-08,150.63
81,2025-03-12,1208.83
82,2025-12-31,1003.49
83,2025-01-13,165.61
84,2025-04-16,489.32
85,2025-07-09,349.03
86,2025-12-28,470.49
87,2025-06-17,283.54
88,2025-10-17,796.59
89,2025-12-02,209.40
90,2025-08-29,167.99
91,2025-10-17,910.51
92,2025-01-01,181.68
93,2025-05-28,608.75
94,2025-03-12,1237.49
95,2025-01-20,186.25
96,2025-12-27,355.55
97,2025-09-25,143.55
98,2025-10-16,364.74
99,2025-04-27,560.46
100,2025-09-28,218.89
101,2025-09-30,39.84
102,2025-10-25,610.14
103,2025-04-25,236.67
104,2025-03-04,340.82
105,2025-01-26,1387.14
106,2025-07-26,678.36
107,2025-03-28,158.31
108,2025-11-12,140.20
109,2025-04-12,760.72
110,2025-07-14,638.67
111,2025-11-22,140.11
112,2025-02-23,572.67
113,2025-03-17,2459.34
114,2025-09-26,417.15
115,2025-04-08,92.67
116,2025-02-11,142.70
117,2025-09-12,374.82
118,2025-11-12,817.96
119,2025-03-24,1367.76
120,2025-03-09,230.10
121,2025-07-18,192.18
122,2025-04-04,430.23
123,2025-08-26,361.97
124,2025-03-02,522.27
125,2025-07-12,694.22
126,2025-10-10,298.21
127,2025-12-29,259.22
128,2025-07-12,770.62
129,2025-04-04,203.40
130,2025-04-08,197.73
131,2025-06-14,1175.19
132,2025-01-14,661.61
133,2025-03-18,1589.16
134,2025-06-01,155.01
135,2025-09-12,252.95
136,2025-09-19,253.58
137,2025-10-07,336.20
138,2025-01-08,1149.24
139,2025-12-19,129.59
140,2025-03-19,670.38
141,2025-02-07,545.77
142,2025-06-24,192.50
143,2025-01-04,479.53
144,2025-12-29,897.85
145,2025-10-08,171.92
146,2025-08-31,111.35
147,2025-01-01,484.54
148,2025-11-12,763.71
149,2025-02-16,978.18
150,2025-05-15,1495.58
151,2025-11-09,526.10
152,2025-10-14,271.94
153,2025-05-22,1616.93
154,2025-06-05,447.87
155,2025-06-16,95.34
156,2025-01-02,753.55
157,2025-08-12,229.95
158,2025-09-04,832.49
159,2025-03-25,767.89
160,2025-10-07,188.67
161,2025-06-18,235.39
162,2025-01-13,277.62
163,2025-02-08,219.97
164,2025-09-18,751.31
165,2025-01-12,157.00
166,2025-11-04,448.36
167,2025-06-04,73.48
168,2025-12-09,897.75
169,2025-02-26,410.17
170,2025-04-09,1001.60
171,2025-08-02,200.22
172,2025-02-10,1118.17
173,2025-05-20,694.86
174,2025-11-11,195.19
175,2025-04-18,186.75
176,2025-05-31,241.18
177,2025-10-27,285.57
178,2025-02-19,221.18
179,2025-09-21,233.04
180,2025-09-06,402.47
181,2025-05-22,739.43
182,2025-11-02,529.75
183,2025-02-09,512.56
184,2025-02-27,107.37
185,2025-12-26,298.69
186,2025-08-30,157.14
187,2025-04-20,674.72
188,2025-01-13,100.08
189,2025-03-15,348.00
190,2025-03-10,885.78
191,2025-02-12,449.09
192,2025-06-22,617.88
193,2025-08-05,1057.53
194,2025-12-29,546.10
195,2025-06-17,909.56
196,2025-03-13,563.85
197,2025-02-23,261.21
198,2025-07-28,596.30
199,2025-12-26,400.62
200,2025-09-15,596.25
