id,region,occupation,label,category,price,income,signup_date
1,north,driver,0,D,45.78,20861.04,2025-01-04
2,west,writer,0,E,19.64,27719.72,2025-05-06
3,west,driver,0,E,20.48,37521.52,2024-01-27
4,west,teacher,1,D,59.91,19760.65,2024-06-17
5,east,writer,0,D,36.47,51702.22,2024-03-27
6,north,analyst,1,A,64.01,42243.79,2024-12-05
7,east,teacher,1,A,12.41,18696.28,2024-05-03
8,west,analyst,1,D,22.00,47276.77,2024-10-25
9,south,driver,0,D,64.95,19168.50,2024-05-15
10,north,analyst,0,B,39.65,46713.26,2024-01-15
11,west,artist,0,C,24.47,40094.99,2024-04-19
12,north,nurse,0,C,33.17,31209.37,2024-06-30
13,east,teacher,1,C,10.39,38854.01,2024-02-05
14,north,analyst,0,B,31.79,35699.25,2025-01-17
15,east,engineer,0,A,32.97,35117.94,2024-03-07
16,west,writer,1,A,19.02,48520.82,2024-01-05
17,west,nurse,0,A,17.91,27308.95,2025-01-24
18,north,driver,0,D,91.43,51902.08,2024-02-24
19,south,driver,0,A,35.37,27808.76,2025-01-19
20,east,nurse,1,B,42.55,79812.45,2024-02-23
21,south,manager,0,C,44.20,32321.28,2024-06-05
22,north,driver,1,E,73.15,45327.81,2024-09-12
23,west,analyst,0,C,15.50,34274.65,2024-02-28
24,north,engineer,1,A,67.20,19449.23,2025-02-20
25,south,writer,0,C,19.77,32051.61,2025-04-29
26,north,analyst,0,A,18.04,83583.62,2024-08-02
27,east,analyst,1,A,30.03,66997.52,2024-06-23
28,east,teacher,0,A,22.40,57407.21,2024-11-20
29,north,artist,1,C,36.03,42359.31,2024-10-11
30,north,artist,0,D,58.24,69232.53,2024-03-07
31,west,writer,0,B,35.73,18290.74,2024-07-30
32,east,engineer,0,E,32.76,37941.02,2024-04-19
33,south,engineer,0,C,46.56,36096.66,2024-07-19
34,south,manager,1,B,20.98,17482.26,2024-11-14
35,south,nurse,0,A,27.54,58753.42,2024-03-03
36,north,artist,1,D,34.31,62909.74,2025-01-27
37,north,engineer,0,C,61.61,30905.29,2025-03-24
38,west,engineer,0,C,15.28,22166.79,2024-12-25
39,west,engineer,0,C,42.84,39011.94,2024-11-20
40,east,driver,0,A,21.51,66131.46,2024-05-31
41,north,analyst,1,D,10.08,19474.01,2024-08-30
42,east,engineer,0,E,14.79,57699.96,2024-05-13
43,west,teacher,1,C,23.08,18057.38,2024-03-09
44,north,analyst,1,A,86.28,16216.23,2025-05-05
45,west,analyst,1,A,12.37,36900.16,2024-06-04
46,west,writer,0,C,13.12,53486.31,2024-05-17
47,west,writer,0,C,18.83,41255.33,2024-04-18
48,west,writer,0,B,12.18,75874.74,2025-02-12
49,west,engineer,0,C,129.81,41046.41,2024-04-04
50,east,analyst,1,D,58.69,22180.97,2025-02-11
51,north,artist,0,E,36.64,39285.22,2025-03-15
52,north,artist,0,D,41.84,51382.82,2024-04-02
53,east,artist,0,D,14.33,26632.54,2024-03-06
54,north,manager,0,B,67.32,37112.50,2024-10-06
55,east,driver,0,C,61.68,46806.94,2024-08-17
56,north,manager,1,A,33.72,57244.02,2025-03-20
57,south,analyst,0,D,71.40,50089.63,2025-02-02
58,north,engineer,0,E,91.33,30244.16,2024-01-22
59,north,engineer,1,D,20.30,19458.85,2024-02-07
60,north,analyst,0,D,64.85,12392.03,2024-02-24
61,south,writer,0,E,16.85,24406.13,2025-02-05
62,south,manager,1,B,14.25,54617.31,2024-07-01
63,east,analyst,1,A,8.19,22705.89,2025-05-01
64,north,engineer,0,D,53.56,24918.15,2024-10-29
65,south,driver,0,C,41.18,25459.94,2024-10-01
66,south,nurse,1,B,14.85,28858.44,2024-08-24
67,south,manager,1,E,43.83,28163.12,2025-02-26
68,south,analyst,1,E,5.80,16887.95,2024-04-17
69,south,manager,0,C,22.76,33784.43,2024-10-16
70,west,analyst,0,D,22.42,40879.94,2024-05-20
71,north,teacher,0,D,71.88,53412.79,2024-02-08
72,west,manager,0,A,32.58,89288.51,2025-01-03
73,east,manager,0,D,9.00,20562.88,2025-01-06
74,north,analyst,0,B,38.72,41455.17,2024-11-20
75,west,nurse,0,B,27.11,57959.65,2024-08-01
76,west,artist,0,C,86.58,21748.40,2024-04-07
77,north,nurse,0,C,21.67,79812.79,2025-04-22
78,north,artist,0,E,26.00,35928.10,2024-03-30
79,south,engineer,1,A,9.50,48234.26,2024-03-01
80,east,engineer,1,C,19.25,74016.02,2024-05-17
81,north,teacher,0,E,52.31,28733.55,2024-06-05
82,north,teacher,0,D,10.10,40334.96,2024-04-21
83,north,teacher,0,E,45.00,51688.72,2024-05-14
84,south,engineer,0,B,53.74,26848.81,2025-02-02
85,east,driver,0,D,9.23,49859.88,2024-03-10
86,south,driver,0,C,36.65,16040.71,2025-03-16
87,south,teacher,1,D,70.03,20311.20,2024-10-11
88,west,artist,1,A,11.70,58075.07,2024-07-01
89,south,writer,0,E,89.54,56524.65,2024-03-13
90,south,driver,1,B,31.07,21205.46,2025-04-29
91,east,manager,0,E,20.74,43026.19,2025-01-04
92,east,analyst,1,A,23.65,38881.43,2025-01-22
93,west,driver,0,B,34.43,45542.13,2024-11-15
94,north,engineer,1,A,75.09,100864.68,2024-03-09
95,west,teacher,0,D,32.93,27557.64,2024-04-19
96,west,engineer,0,C,29.29,26032.78,2025-03-27
97,west,driver,0,B,26.80,54483.51,2025-03-01
98,north,engineer,0,B,58.34,37719.05,2024-07-26
99,north,artist,0,D,81.30,31206.35,2024-02-26
100,west,artist,0,A,111.08,31836.78,2024-08-21
101,south,artist,0,E,11.50,30335.49,2024-10-07
102,south,nurse,0,A,19.43,42197.70,2024-04-29
103,north,teacher,0,C,57.47,47229.46,2024-03-20
104,south,nurse,1,E,19.76,26343.74,2024-09-09
105,north,driver,0,D,40.84,22330.51,2024-10-04
106,east,artist,0,E,43.32,42822.52,2024-11-29
107,east,manager,0,E,33.39,56541.01,2024-07-01
108,west,nurse,0,C,18.76,44591.00,2024-07-06
109,west,teacher,0,B,52.35,42671.33,2024-08-14
110,south,nurse,0,A,29.33,29224.44,2024-03-05
111,north,nurse,0,B,32.78,13939.14,2025-01-29
112,west,writer,1,B,9.58,53475.95,2024-04-25
113,west,artist,1,A,14.07,58547.21,2024-11-13
114,north,engineer,0,B,22.47,25210.15,2025-04-03
115,west,analyst,0,E,20.51,57411.14,2024-04-16
116,east,analyst,0,C,27.67,45135.57,2025-02-24
117,north,engineer,1,A,140.28,34104.32,2024-08-22
118,west,nurse,1,B,24.55,167315.85,2024-03-19
119,east,manager,0,A,58.46,35837.50,2024-01-20
120,east,nurse,0,E,26.22,50373.58,2024-01-27
121,west,teacher,0,B,34.61,35098.81,2024-08-19
122,west,teacher,0,D,24.21,31278.93,2024-03-17
123,north,driver,0,E,43.65,37657.66,2024-03-15
124,west,nurse,1,A,56.57,27656.56,2024-02-16
125,south,engineer,0,B,14.42,58703.96,2024-05-24
126,west,teacher,1,E,47.61,51929.26,2024-02-19
127,east,writer,0,E,10.63,30486.64,2024-05-29
128,east,engineer,0,E,17.53,46903.77,2024-12-12
129,north,nurse,0,D,38.79,16345.37,2024-03-12
130,east,engineer,0,B,15.59,40551.18,2024-09-25
131,north,engineer,0,C,36.05,18252.11,2024-09-23
132,north,driver,0,C,161.02,25220.55,2024-04-06
133,south,driver,0,C,18.55,34302.02,2024-11-20
134,east,artist,0,E,22.37,26195.96,2024-08-07
135,north,manager,1,A,19.09,27092.07,2024-04-28
136,south,artist,0,B,27.86,47678.37,2025-02-12
137,south,writer,1,B,42.89,11579.59,2024-02-07
138,east,teacher,1,B,70.98,21060.40,2024-10-14
139,west,artist,0,B,22.11,17160.65,2024-01-30
140,east,analyst,0,B,46.97,58135.13,2025-01-20
141,north,writer,0,E,40.13,45881.16,2025-05-13
142,south,engineer,1,D,42.95,19697.50,2025-02-20
143,north,driver,0,D,59.88,32359.00,2024-05-23
144,east,driver,0,E,34.12,56987.50,2024-11-19
145,south,artist,1,A,30.93,20809.73,2025-01-11
146,west,nurse,0,C,19.33,20635.61,2024-03-11
147,north,writer,0,B,43.47,19482.14,2024-08-09
148,east,writer,0,A,33.87,31847.34,2024-12-26
149,north,driver,0,A,27.02,37708.68,2024-10-04
150,east,driver,0,B,64.05,59348.61,2024-06-21
151,south,artist,0,C,12.13,11562.16,2024-07-04
152,east,teacher,0,D,20.38,73252.76,2025-01-14
153,east,engineer,1,A,10.85,21409.07,2025-03-26
154,south,nurse,0,B,100.21,39968.77,2024-05-10
155,west,analyst,0,A,86.75,27076.95,2024-11-27
156,north,teacher,0,D,61.57,44177.62,2025-04-04
157,east,nurse,0,D,21.93,44326.66,2024-07-23
158,north,writer,0,E,16.33,46776.59,2024-09-10
159,east,writer,0,B,29.08,29114.34,2024-02-27
160,south,analyst,0,C,48.27,38033.57,2024-12-24
161,north,artist,0,E,24.55,21461.83,2024-12-30
162,south,driver,0,E,35.07,89576.78,2025-03-29
163,south,nurse,0,E,19.77,27212.74,2025-05-09
164,west,teacher,1,A,18.63,41190.19,2024-11-18
165,north,writer,1,B,223.75,34730.25,2025-02-17
166,east,artist,0,A,22.28,64402.52,2024-02-22
167,north,engineer,1,A,30.35,21646.56,2024-02-04
168,south,writer,0,A,13.02,42927.77,2025-04-03
169,east,artist,1,D,36.59,65137.30,2024-10-31
170,west,writer,0,B,87.99,24434.55,2024-05-29
171,north,writer,0,A,57.41,19125.07,2024-11-22
172,east,manager,0,B,15.34,40583.51,2024-01-08
173,west,manager,1,B,39.34,44634.72,2024-04-19
174,north,analyst,0,C,13.79,35829.51,2024-09-13
175,east,nurse,0,B,124.11,65606.96,2024-03-19
176,west,writer,1,D,39.70,39306.40,2024-02-22
177,west,teacher,0,D,24.49,45152.66,2025-04-26
178,south,artist,1,A,11.97,28714.28,2024-01-13
179,east,nurse,0,D,22.55,61186.31,2024-02-14
180,north,teacher,0,A,11.18,17035.11,2024-01-05
181,north,engineer,0,E,38.66,34041.31,2024-11-05
182,north,artist,0,D,43.12,39827.91,2025-04-21
183,south,artist,0,D,91.93,19671.19,2025-01-02
184,north,writer,0,A,22.03,57320.01,2024-07-05
185,west,analyst,1,A,20.53,37897.65,2024-06-08
